Event ID,TItle,Event description,Venue,Address,City,Event Date ,Time Normalized,Start DateTime,End DateTime,Time Display,Time of Day,Age Tags Clean,Age Simple,Category Clean,Category Tags,Category Order,Cost,Image URL,Event URL,Source,Imported at,Approved,Is Past,Is Live,Verified by Puddles,Last Checked Date,	Checked By,Check Method,Verification Status,	Internal Notes,Longtitide,Display location,Display Location Short,Event Preview,Today,Tomorrow,This Weekend,Day Tag,Happening Now,Starting Soon,Card Substitute,Short Title,Calendar Link,,,,Date Match,🔐 Softr Record ID
,Music & Movement,"Bring your dancing feet to the Mitchell Park Library on Wednesday evenings for Music & Movement with Librarian Celina. Build early literacy skills through movement, songs, and dance.
 
 Instruments, songs, and dance moves will all be...",Mitchell Park Library,"3700 Middlefield Rd, Palo Alto, CA 94303",Palo Alto,7/8/2026,6:30pm to 7:15pm,7/8/2026 6:30PM,7/8/2026 7:15PM,6:30pm to 7:15pm,Evening,"0-2, 2-5, 5+",All,Stories,"Stories, Music & Movement, Build & Explore, Outdoor",1,,https://paloalto.bibliocommons.com/events/uploads/images/full/96447a50e9a5659c33eba8e34ca1123f/BibliocommonsbannerCropsbc(2).png,https://paloalto.bibliocommons.com/events/69a0b0f2b48451fc3c0563c5,,,TRUE,FALSE,TRUE,,,,,,,-122.1099,📍 Mitchell Park Library,Mitchell Park Library · Palo Alto,Bring your dancing feet to the Mitchell Park Library on Wednesday evenings for Music & Movement with Librarian Celina.,FALSE,FALSE,FALSE,Coming up,FALSE,FALSE,7/8 · 6:30 PM–7:15 PM,Music & Movement,https://calendar.google.com/calendar/render?action=TEMPLATE&text=Music%20%26%20Movement&dates=20260708T183000/20260708T191500&details=%F0%9F%93%8D%20Mitchell%20Park%20Library&location=Mitchell%20Park%20Library,,,,,
,Bilingual Family Storytime,"Join Señorita Juliana for Bilingual Family Storytime at the College Terrace Library! Enjoy stories, songs, rhymes, and movement activities in Spanish and English. Thursdays from 10:30-11 AM.
 
 Storytime may be held indoors or outdoors...",College Terrace Library,"2300 Wellesley St, Palo Alto, CA 94306",Palo Alto,7/9/2026,10:30am to 11:00am,7/9/2026 10:30AM,7/9/2026 11:00AM,10:30am to 11:00am,Morning,"0-2, 2-5, 5+",All,Stories,"Stories, Music & Movement, Outdoor",1,,https://paloalto.bibliocommons.com/events/uploads/images/full/aebfcbc231dbf9255ec654153e21424f/banner.png,https://paloalto.bibliocommons.com/events/69276b597eb3e430002638a7,,,TRUE,FALSE,TRUE,,,,,,,-122.1432,📍 College Terrace Library,College Terrace Library · Palo Alto,"Join Señorita Juliana for Bilingual Family Storytime at the College Terrace Library! Enjoy stories, songs, rhymes, and movement activities in Spanish and English.",FALSE,FALSE,FALSE,Coming up,FALSE,FALSE,7/9 · 10:30 AM–11:00 AM,Bilingual Family Storytime,https://calendar.google.com/calendar/render?action=TEMPLATE&text=Bilingual%20Family%20Storytime&dates=20260709T103000/20260709T110000&details=%F0%9F%93%8D%20College%20Terrace%20Library&location=College%20Terrace%20Library,,,,,
,Family Storytime,"Join Librarian Heidi on Friday mornings at 10:30AM for Family Storytime at Downtown Library. Come sing, rhyme, and read stories with us! While this storytime will be geared towards those older than 2 years, all ages are...",Downtown Library,"270 Forest Ave, Palo Alto, CA 94301",Palo Alto,7/10/2026,10:30am to 11:00am,7/10/2026 10:30AM,7/10/2026 11:00AM,10:30am to 11:00am,Morning,"0-2, 2-5, 5+",All,Stories,"Stories, Music & Movement",1,,https://paloalto.bibliocommons.com/events/uploads/images/full/6651c0e2572ecc9e52cf43d7ad6507b4/MicrosoftTeams-image.png,https://paloalto.bibliocommons.com/events/6931edd1b5ff4730005608f3,,,TRUE,FALSE,TRUE,,,,,,,-122.16117,📍 Downtown Library,Downtown Library · Palo Alto,Join Librarian Heidi on Friday mornings at 10:30AM for Family Storytime at Downtown Library.,FALSE,FALSE,FALSE,Coming up,FALSE,FALSE,7/10 · 10:30 AM–11:00 AM,Family Storytime,https://calendar.google.com/calendar/render?action=TEMPLATE&text=Family%20Storytime&dates=20260710T103000/20260710T110000&details=%F0%9F%93%8D%20Downtown%20Library&location=Downtown%20Library,,,,,
,LEGO Fridays!,"We have the LEGOs! Bring your imagination and build something fun! LEGOs will stay at the library, so be sure to snap a pic of your creation!
 
 In addition to being a great way to introduce the engineering and art concepts of STEAM,...",College Terrace Library,"2300 Wellesley St, Palo Alto, CA 94306",Palo Alto,7/10/2026,4:00pm to 5:00pm,7/10/2026 4:00PM,7/10/2026 5:00PM,4:00pm to 5:00pm,Late afternoon,"0-2, 2-5, 5+",All,Build & Explore,Build & Explore,4,,https://paloalto.bibliocommons.com/events/uploads/images/full/fe6ca78286cf56c8ccfd4045df9f1a33/lego-blocks-2458575_1280.jpg,https://paloalto.bibliocommons.com/events/6a25aace2ea730c17ab50481,,,TRUE,FALSE,TRUE,,,,,,,-122.1432,📍 College Terrace Library,College Terrace Library · Palo Alto,"We have the LEGOs! Bring your imagination and build something fun! LEGOs will stay at the library, so be sure to snap a pic of your creation! In addition to being a great way to introduce the engineering and art concepts of STEAM,.",FALSE,FALSE,FALSE,Coming up,FALSE,FALSE,7/10 · 4:00 PM–5:00 PM,LEGO Fridays!,https://calendar.google.com/calendar/render?action=TEMPLATE&text=LEGO%20Fridays%21&dates=20260710T160000/20260710T170000&details=%F0%9F%93%8D%20College%20Terrace%20Library&location=College%20Terrace%20Library,,,,,
,Family Storytime,"Join Librarian Juliana on Saturdays from 10:30-11 AM at Mitchell Park Library for Family Storytime! Come sing, rhyme, and read stories with us!
 
 Make sure to follow us on YouTube for more stories, songs and rhymes, including...",Mitchell Park Library,"3700 Middlefield Rd, Palo Alto, CA 94303",Palo Alto,7/11/2026,10:30am to 11:00am,7/11/2026 10:30AM,7/11/2026 11:00AM,10:30am to 11:00am,Morning,"0-2, 2-5, 5+",All,Stories,"Stories, Music & Movement, Outdoor",1,,https://paloalto.bibliocommons.com/events/uploads/images/full/6651c0e2572ecc9e52cf43d7ad6507b4/MicrosoftTeams-image.png,https://paloalto.bibliocommons.com/events/698e125a2a787a47a5e73bd8,,,TRUE,FALSE,TRUE,,,,,,,-122.1099,📍 Mitchell Park Library,Mitchell Park Library · Palo Alto,"Join Librarian Juliana on Saturdays from 10:30-11 AM at Mitchell Park Library for Family Storytime! Come sing, rhyme, and read stories with us! Make sure to follow us on YouTube for more stories, songs and rhymes, including.",FALSE,FALSE,TRUE,This weekend,FALSE,FALSE,7/11 · 10:30 AM–11:00 AM,Family Storytime,https://calendar.google.com/calendar/render?action=TEMPLATE&text=Family%20Storytime&dates=20260711T103000/20260711T110000&details=%F0%9F%93%8D%20Mitchell%20Park%20Library&location=Mitchell%20Park%20Library,,,,,
,"Astro Everywhere Presents ""What's Up in Astronomy?""","Join us at Rinconada Library in the Embarcadero Room for a portable planetarium show by Astro Everywhere.
 
 This program offers something for everyone! We begin by exploring the night sky and what's visible in the coming hours, days, and...",Rinconada Library,"1213 Newell Rd, Palo Alto, CA 94303",Palo Alto,7/11/2026,3:00pm to 4:00pm,7/11/2026 3:00PM,7/11/2026 4:00PM,3:00pm to 4:00pm,Late afternoon,5+,5+,Build & Explore,"Build & Explore, Classes",4,,https://paloalto.bibliocommons.com/events/uploads/images/full/b21f248f234c52ff53cfa3e470efd129/srp2026_beanstack_1572x583.png,https://paloalto.bibliocommons.com/events/69fccf22177319280018194f,,,TRUE,FALSE,TRUE,,,,,,,-122.1384,📍 Rinconada Library,Rinconada Library · Palo Alto,Join us at Rinconada Library in the Embarcadero Room for a portable planetarium show by Astro Everywhere.,FALSE,FALSE,TRUE,This weekend,FALSE,FALSE,7/11 · 3:00 PM–4:00 PM,"Astro Everywhere Presents ""What's Up in ...",https://calendar.google.com/calendar/render?action=TEMPLATE&text=Astro%20Everywhere%20Presents%20%22What%27s%20Up%20in%20Astronomy%3F%22&dates=20260711T150000/20260711T160000&details=%F0%9F%93%8D%20Rinconada%20Library&location=Rinconada%20Library,,,,,
,Family Storytime,"Join Librarian Rebecca on Sunday mornings at 11:00AM for Family Storytime at Rinconada Library. Come sing, rhyme, and read stories with us! While this storytime will be geared towards those older than 2 years, all ages are welcome!
 
 Make...",Rinconada Library,"1213 Newell Rd, Palo Alto, CA 94303",Palo Alto,7/12/2026,11:00am to 11:30am,7/12/2026 11:00AM,7/12/2026 11:30AM,11:00am to 11:30am,Morning,"0-2, 2-5, 5+",All,Stories,"Stories, Music & Movement",1,,https://paloalto.bibliocommons.com/events/uploads/images/full/6651c0e2572ecc9e52cf43d7ad6507b4/MicrosoftTeams-image.png,https://paloalto.bibliocommons.com/events/6a0fb6a3e13d3b4603b50f76,,,TRUE,FALSE,TRUE,,,,,,,-122.1384,📍 Rinconada Library,Rinconada Library · Palo Alto,Join Librarian Rebecca on Sunday mornings at 11:00AM for Family Storytime at Rinconada Library.,FALSE,FALSE,TRUE,This weekend,FALSE,FALSE,7/12 · 11:00 AM–11:30 AM,Family Storytime,https://calendar.google.com/calendar/render?action=TEMPLATE&text=Family%20Storytime&dates=20260712T110000/20260712T113000&details=%F0%9F%93%8D%20Rinconada%20Library&location=Rinconada%20Library,,,,,
,Family Storytime,"Join Librarian Jennifer (and Rocky Raccoon) on Tuesdays at 10:30 AM for Family Storytime at Children's Library! Come sing, rhyme, and read stories with us! While this storytime will be geared towards those older than 2 years, all ages...",Children's Library,"1276 Harriet St, Palo Alto, CA 94301",Palo Alto,7/14/2026,10:30am to 11:00am,7/14/2026 10:30AM,7/14/2026 11:00AM,10:30am to 11:00am,Morning,"0-2, 2-5, 5+",All,Stories,"Stories, Music & Movement",1,,https://paloalto.bibliocommons.com/events/uploads/images/full/2ac0887856e00e5bd4e64b48d911a089/storytime.png,https://paloalto.bibliocommons.com/events/699f60146724c63d00f52cc5,,,TRUE,FALSE,TRUE,,,,,,,-122.1396,📍 Children's Library,Children's Library · Palo Alto,"Join Librarian Jennifer (and Rocky Raccoon) on Tuesdays at 10:30 AM for Family Storytime at Children's Library! Come sing, rhyme, and read stories with us! While this storytime will be geared towards those older than 2 years, all ages.",FALSE,FALSE,FALSE,Coming up,FALSE,FALSE,7/14 · 10:30 AM–11:00 AM,Family Storytime,https://calendar.google.com/calendar/render?action=TEMPLATE&text=Family%20Storytime&dates=20260714T103000/20260714T110000&details=%F0%9F%93%8D%20Children%27s%20Library&location=Children%27s%20Library,,,,,
,Circus of Smiles,"Join us at the Children's Library in the Secret Garden for a performance by Circus of Smiles.
 
 This family friendly show is filled with non-stop excitement and theatrics that will have you laughing, participating, and hoping for even more!
 
 This...",Children's Library,"1276 Harriet St, Palo Alto, CA 94301",Palo Alto,7/14/2026,3:00pm to 4:00pm,7/14/2026 3:00PM,7/14/2026 4:00PM,3:00pm to 4:00pm,Late afternoon,"0-2, 2-5, 5+",All,Outdoor,Outdoor,5,,https://paloalto.bibliocommons.com/events/uploads/images/full/b21f248f234c52ff53cfa3e470efd129/srp2026_beanstack_1572x583.png,https://paloalto.bibliocommons.com/events/69fccf0ef89ee15800513441,,,TRUE,FALSE,TRUE,,,,,,,-122.1396,📍 Children's Library,Children's Library · Palo Alto,Join us at the Children's Library in the Secret Garden for a performance by Circus of Smiles.,FALSE,FALSE,FALSE,Coming up,FALSE,FALSE,7/14 · 3:00 PM–4:00 PM,Circus of Smiles,https://calendar.google.com/calendar/render?action=TEMPLATE&text=Circus%20of%20Smiles&dates=20260714T150000/20260714T160000&details=%F0%9F%93%8D%20Children%27s%20Library&location=Children%27s%20Library,,,,,
,LEGO Tuesdays!,"We have the LEGOs! Bring your imagination and build something fun! LEGOs will stay at the library, so be sure to snap a pic of your creation!
 
 In addition to being a great way to introduce the engineering and art concepts of STEAM,...",Downtown Library,"270 Forest Ave, Palo Alto, CA 94301",Palo Alto,7/14/2026,4:00pm to 5:00pm,7/14/2026 4:00PM,7/14/2026 5:00PM,4:00pm to 5:00pm,Late afternoon,"0-2, 2-5, 5+",All,Build & Explore,Build & Explore,4,,https://paloalto.bibliocommons.com/events/uploads/images/full/fe6ca78286cf56c8ccfd4045df9f1a33/lego-blocks-2458575_1280.jpg,https://paloalto.bibliocommons.com/events/68afa7b0022de53d00d2716f,,,TRUE,FALSE,TRUE,,,,,,,-122.16117,📍 Downtown Library,Downtown Library · Palo Alto,"We have the LEGOs! Bring your imagination and build something fun! LEGOs will stay at the library, so be sure to snap a pic of your creation! In addition to being a great way to introduce the engineering and art concepts of STEAM,.",FALSE,FALSE,FALSE,Coming up,FALSE,FALSE,7/14 · 4:00 PM–5:00 PM,LEGO Tuesdays!,https://calendar.google.com/calendar/render?action=TEMPLATE&text=LEGO%20Tuesdays%21&dates=20260714T160000/20260714T170000&details=%F0%9F%93%8D%20Downtown%20Library&location=Downtown%20Library,,,,,
,Little Ones Storytime,"Join Librarian Heidi on Wednesday mornings at 10:30AM for Little Ones Storytime at Children's Library.
 
 Storytime includes a variety of early literacy activities such as stories, songs, rhymes, and movement activities. Storytime is a...",Children's Library,"1276 Harriet St, Palo Alto, CA 94301",Palo Alto,7/15/2026,10:30am to 11:00am,7/15/2026 10:30AM,7/15/2026 11:00AM,10:30am to 11:00am,Morning,0-2,0-2,Stories,"Stories, Music & Movement",1,,https://paloalto.bibliocommons.com/events/uploads/images/full/ce0fac3af4e0e23edef62841315af0a3/storytime_890x445-670x335.png,https://paloalto.bibliocommons.com/events/69265595a2f9562900e5f95a,,,TRUE,FALSE,TRUE,,,,,,,-122.1396,📍 Children's Library,Children's Library · Palo Alto,Join Librarian Heidi on Wednesday mornings at 10:30AM for Little Ones Storytime at Children's Library.,FALSE,FALSE,FALSE,Coming up,FALSE,FALSE,7/15 · 10:30 AM–11:00 AM,Little Ones Storytime,https://calendar.google.com/calendar/render?action=TEMPLATE&text=Little%20Ones%20Storytime&dates=20260715T103000/20260715T110000&details=%F0%9F%93%8D%20Children%27s%20Library&location=Children%27s%20Library,,,,,
,Music & Movement,"Bring your dancing feet to the Mitchell Park Library on Wednesday evenings for Music & Movement with Librarian Celina. Build early literacy skills through movement, songs, and dance.
 
 Instruments, songs, and dance moves will all be...",Mitchell Park Library,"3700 Middlefield Rd, Palo Alto, CA 94303",Palo Alto,7/15/2026,6:30pm to 7:15pm,7/15/2026 6:30PM,7/15/2026 7:15PM,6:30pm to 7:15pm,Evening,"0-2, 2-5, 5+",All,Stories,"Stories, Music & Movement, Build & Explore, Outdoor",1,,https://paloalto.bibliocommons.com/events/uploads/images/full/96447a50e9a5659c33eba8e34ca1123f/BibliocommonsbannerCropsbc(2).png,https://paloalto.bibliocommons.com/events/69a0b0f2b48451fc3c0563c6,,,TRUE,FALSE,TRUE,,,,,,,-122.1099,📍 Mitchell Park Library,Mitchell Park Library · Palo Alto,Bring your dancing feet to the Mitchell Park Library on Wednesday evenings for Music & Movement with Librarian Celina.,FALSE,FALSE,FALSE,Coming up,FALSE,FALSE,7/15 · 6:30 PM–7:15 PM,Music & Movement,https://calendar.google.com/calendar/render?action=TEMPLATE&text=Music%20%26%20Movement&dates=20260715T183000/20260715T191500&details=%F0%9F%93%8D%20Mitchell%20Park%20Library&location=Mitchell%20Park%20Library,,,,,
